ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
183,Lit_review,Permethrin,Pyrethroid,Cytotoxicity assessed by cell viability; protective efficacy against pyrethroid cytotoxicity,MTT cytotoxicity assay measuring cell viability after exposure to insecticides including permethrin; enzymatic assays for P450 detoxification activity on Sf9 insect cells engineered to express mosquito P450 enzymes CYP6P7 or CYP6AA3. They were used to test detoxification capacity.,-,-,-,-,"CYP6P7, CYP6AA3",-,Cytochrome P450 monooxygenases CYP6P7 and CYP6AA3,Detoxification of permethrin by cytochrome P450 enzymes reduces cytotoxicity; inhibition of P450 increases cytotoxicity,"Cytoprotection from cytotoxicity, enzymatic metabolism of permethrin",Active,-,-,-,-,-,-,-,-,-,-,-,500 µM,Cell viability percentage,-,"MTT cytotoxicity assay, in vitro enzymatic reconstitution assay",Measurement of cytotoxicity and detoxification enzyme activity against permethrin in Sf9 insect cells,"viability, detoxification capability assessment",-,-,-,Spodoptera frugiperda,Sf9 ,cell line ,0.1-500 µM ,"Increased cell viability in CYP6P7 and CYP6AA3 expressing cells, indicating detoxification; decreased viability in parental cells exposed to permethrin",-,Cytochrome P450 enzymes,Enzymes,Monooxygenases,cytotoxicity,"Xenobiotic metabolism, detoxification",Colorimetric MTT assay,insect cells,-,-,https://pubmed.ncbi.nlm.nih.gov/22041748/,-,-,-
184,Lit_review,Permethrin,Pyrethroid,WST-test and total ATP measure,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer. ",-,-,-,-,-,-,-,-,cytotoxicity (low total ATP and mitocondrial metabolic activity),Active,-,-,-,-,-,-,-,-,-,-,-,100μM,-,-,Total ATP and WST-test,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. It utilizes the bioluminescent reaction catalyzed by the enzyme luciferase in the presence of ATP and luciferin, producing light proportional to ATP concentration. As ATP is rapidly depleted in dead or dying cells, the luminescent signal directly correlates with the number of viable cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer.",viability ,-,-,-,human ,SH-SY5Y,cell line ,0.1-100μM,"There was induction of enzyme activities with WST-1 test with all pyrethroid compounds studied at low concentrations. With the ATP assay, exposure to 0.1-100μM of natural pyrethrin, as well as of permethrin and cypermethrin showed dose-dependent cytotoxicity. The most toxic pyrethroid was cypermethrin followed by permethrin and natural pyrethrin.",-,mitochondrial metabolic enzymes,-,-,cytotoxicity,cell death,"Luminescence (total ATP), photometry (WST-test), microscopy (morphological changes)",brain,-,-,10.1016/j.etap.2003.11.005,-,-,-
185,Lit_review,Permethrin,Pyrethroid,WST-test and total ATP measure,"The proliferation of the breast cancer cell line, MCF7, was studied after a 7-day exposure to various concentrations of pyrethrin, permethrin and cypermethrin. The effects of oestradiol and the combined effects of oestradiol (0.10 nM) and pyrethroids (0.1-100 microM) on MCF7 cell proliferation were also evaluated. The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer. ",-,-,-,-,-,-,-,-,cytotoxicity (low total ATP and mitocondrial metabolic activity),Active,-,-,-,-,-,-,-,-,-,-,-,100μM,-,-,Total ATP and WST-test,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. It utilizes the bioluminescent reaction catalyzed by the enzyme luciferase in the presence of ATP and luciferin, producing light proportional to ATP concentration. As ATP is rapidly depleted in dead or dying cells, the luminescent signal directly correlates with the number of viable cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer.",viability ,-,-,-,human ,MCF7,cell line ,0.1-100μM,"n the ATP test, low concentrations (0.1-1 microM) of pyrethroids in co-exposure with oestradiol caused a clear statistically significant increase in the proliferation of MCF7 cells. This was evident when compared to the proliferative effect caused by 0.1 nM oestradiol alone. High concentrations were cytotoxic, and the greatest cell toxicity was that of cypermethrin, which has a cyano group in its molecular structure.",-,mitochondrial metabolic enzymes,-,-,cytotoxicity,cell proliferation and toxicity,"Luminescence (total ATP), photometry (WST-test)",breast ,-,-,10.1177/026119290403200410,-,-,-
186,Lit_review,Permethrin,Pyrethroid,Genotixicity and chromosomal damage with the cytokinesis-block method to assess micronulie formation after exposure to pyrethroids,"The cytokinesis-block method with 6 μg/ml cytochalasin B (Cyt-B) is a widely used technique in the cytokinesis-block micronucleus (CBMN) assay to assess chromosomal damage and genotoxicity. Cytochalasin B is a drug that inhibits actin polymerization, specifically blocking the formation of the contractile ring required for cytokinesis (the final step of cell division where the cytoplasm divides). By adding Cyt-B to cultured cells at a concentration of about 6 μg/ml, cytokinesis is prevented while nuclear division proceeds normally, resulting in the accumulation of binucleated cells, i.e., cells with two nuclei.",-,,-,-,-,-,-,-,micronucleus formation (MN) and cytotoxicity,Inactive,-,-,-,-,-,-,-,-,-,-,-,200  μg/mL,-,-,cytokinesis-block micronucleus (CBMN) assay,"It is a well-established cytogenetic assay that detects chromosomal damage by scoring micronuclei in binucleated cells, providing sensitive measurement of genetic damage caused by chemical agents such as insecticides in human lymphocyte cultures",viability ,-,-,-,human ,whole blood and lymfocytes,peripheral blood lymphocytes ,10-200  μg/mL,"At the concentration ranges tested, all the five pyrethroids induced clear dose dependent cytotoxic effects, fenpropathrin being the most toxic. Nuclear division index (NDI) and the newly introduced index of cytotoxicity, the cytokinesis block proliferation index (CBPI), reflected the dose dependency more accurately than the percentage of binucleated cells did.Permethrin gave mostly negative results, although it increased the MN frequency in WB cultures of one donor when 6 μg/ml Cyt-B was used.",-,-,-,-,cytotoxicity,cell cycle/proliferation,Fluorescence,blood,-,-, 10.1016/0165-1218(95)90007-1,-,-,-
187,Lit_review,Permethrin,Pyrethroid,Colony Forming Ability (CFA) assay,"in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",-,,-,-,-,-,-,-,cell cycle arrest,Active,-,-,-,-,-,-,-,-,-,-,-,100 mg/ml,-,-,colony forming ability (CFA) assay + cell cycle analysis by flow cytometry + microscopic evaluation of the mitotic index.,"CFA assay is a widely used in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",viability ,-,-,-,hamster,V79,cell line ,3.1–100 mg/ml,"The colony forming ability (CFA) resulted in distinct differences of the cytotoxic effect of the tested pyrethroids, whereby permethrin was found to be most toxic. With the exception of fenvalerate all tested pyrethroids gave rise to inhibition of cell cycle progression as shown by G2/M-arrest of synchronized V79 cells by flow cytometry as well as by the increase of the mitotic index as evaluated by light microscopy. ",-,-,-,-,cytotoxicity,cell cycle,Fllow-cytometry and microscopy,lung,-,-,https://doi.org/10.1016/S0378-4274(99)00034-X,-,-,-
188,Lit_review,Permethrin,Pyrethroid,MTT and LDH release assays,MTT assay to assess cell viability/cytotoxicity and LDH release assay for membrane integrity. Confocal and light microscopy used for morphological assessment.,-,,-,-,-,-,-,-,cytotoxicity ,Active,-,-,-,105.3 ng/mL (MTT assay),-,-,-,-,-,-,-,200 ng/mL ,-,-,"MTT assay, LDH release, EROD activity (CYP1A), microscopy",MTT: Mitochondrial function and cell viability. LDH: Membrane damage/cell lysis during apoptosis/necrosis. EROD: Measurement of CYP1A induction indicating biotransformation/phase I metabolic capacity. Microscopy: Morphological characterization of cellular/subcellular alterations,"viability, cytotoxicity, and enzyme induction",-,10,mg/mL,trout,RTG-2,cell line ," 6.25, 12.5, 25, 50, 100, 200 ng/mL for toxicity assays; IC50 for microscopy/EROD (105.3 ng/mL)","IC50 (MTT, permethrin): 105.3 ng/mL (least cytotoxic among tested pyrethroids). Morphological effects (microscopy): Condensed/pyknotic nuclei, fragmented morphology, cell shrinkage, cytoplasmic vacuoles, pleomorphism, hydropic degeneration. LDH release: Increased, non-dose dependent, max 78.13%. EROD induction (CYP1A): 5.01-fold increase at IC50 compared to controls",-,-,-,-,-,-,Colorimetric (MTT/LDH); Fluorometric (EROD); Microscopy,Gonadal/mixed testis-ovary cells,-,-,https://doi.org/10.1080/15569543.2017.1366922,-,-,-
189,Lit_review,Permethrin,Pyrethroid,"MTT assay, Neutral Red Uptake (NRU) assay, Nile Red (lipid) staining, Perilipin immunofluorescence, Western blot","Adipogenic differentiation, lipid accumulation, perilipin expression, adipogenic marker expression, autophagy regulation effects of permethrin in mesenchymal stem cells (MSCs)",-,MTT: Cell metabolic activity and viability. NRU: Lysosomal integrity/viability. Nile Red: Intracellular lipid droplets. Western blot: Quantified adipogenic and autophagic proteins,-,-,-,-,-,-,dipogenic differentiation +autphagy,Active,-,-,-,-,-,-,-,-,-,-,-,100 μM,-,-,"MTT, NRU, Nile Red staining, Perilipin immunofluorescence, Western blot for marker proteins","Various cellular and biochemical endpoints to assess adipogenic commitment, lipid accumulation, autophagy modulation","viability, lineage commitment, autophagy (protein) marker analysis",-,-,-,mice,Primary mouse bone marrow mesenchymal stem cells (MSCs),primary cells,"1, 10, 100 μM tested; 100 μM used for mechanistic studies","No cytotoxicity at tested doses (MTT, NRU). Dose-dependent increase in adipogenic commitment: lipid staining, perilipin, and marker proteins (PPARγ, C/EBPα, FABP4). Autophagy inhibition: increased LC3II and p62 proteins.",-,-,-,-,-,"Adipogenic differentiation, autophagy regulation","Colorimetric (MTT, NRU), Fluorescence (Nile Red, Perilipin), Immunoblotting (Western blot)",bone marrow,-,-,https://doi.org/10.1016/j.pestbp.2023.105566,-,-,-
190,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
191,ICE,Permethrin,Pyrethroid,AR Binding,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
192,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
193,ICE,Permethrin,Pyrethroid,AR Binding,Ki,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding,,-,-,-,-,-,-,-,-,ki=330000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
194,ICE,Permethrin,Pyrethroid,AR Binding,RBA,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding,,-,-,-,-,-,-,-,-,RBA (Relative Binding Affinity)= 1.5E-5,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
195,ICE,Permethrin,Pyrethroid,AR Binding,Receptor binding,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
196,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
197,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
198,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
199,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
200,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
201,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
202,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
203,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
204,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
205,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
206,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Xu et al. 2008; 17980950; 10.1016/j.tox.2007.09.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
207,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
208,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
209,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
210,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,AC50/EC50/IC50,-,-,-,-,-,-,-,-,-,Active,-,-,-,730000 nM,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,AC50=730000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
211,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
212,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
213,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
214,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
215,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
216,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
217,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
218,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
219,ICE,Permethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
